Filename,Category,Increase,Decrease,ReasonForVariation,Platform,Source,Date,Variation...m.
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Changed Requirements,9,319,Reduction in number of aircraft to be equipped with Defensive Aids Sub-System (DASS) from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months (-£81m). Option bringing the DASS forward onto aircraft 1-9 (+£9m).,A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Changed Budgetary Priorities,7,81,"Changed delivery profile from that in the Business Case (-£61m). Minor realism adjustments, includes UK share of OCCAR Programme Division costs (+£5m), QinetiQ Support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m).",A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Inflation,6,16,"Changes between inflation rate assumed in the Business Case and yearly inflation indices resulting in a decrease 2000/2001 (-£6m), an increase 2001/2002 (+£6m), a decrease 2002/2003 (-£10m).",A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Exchange Rate,NA,232,"Variation in exchange rate assumptions used in the Business Case, 2000/2001, 2001/2002 and 2002/2003 (-£232m).",A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Contracting Process,442,59,Realism to reflect 3 month delay in 2000/01 to contract effectivity (+£52m). Slip of aircraft payments and associated equipment to reflect above contract let decision (+£15m). Improved costing data for Configuration Items available (+£160m). Contract Effectivity Date (CED) slipped from November 2001 - October 2002 (+£149m). CED slipped from October 2002 - April 2003 (-£59m). Adjustments in line with increased knowledge of Programme (+£66m).,A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Procurement Strategy,130,65,"Total number of aicraft ordered by participating nations higher than anticipated, and consequent reduction in UPC (-£65m). Subsequent contract renegotiation due to German reduction in offtake (+£130m).",A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Accounting Adjustments and Re-definitions,NA,1,Transfer from RDEL to CDEL (-£1m).,A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Risk Differential,NA,119,Difference between the most likely and highest acceptable cost at Main Gate (-£119m),A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Total,594,-938,NA,A400M,2003,NA,NA
A400M_2003_2003_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Net Variation,NA,-344,NA,A400M,2003,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Technical Factors,83,70,"Reduction in the requirement for government procured items (-£46m). Improved understanding of programme requirement for Initial Provision Spares (+£83m), Deployment Kits (-£1m), Initial Training (-£13m) and Mission Planning & Restitution System (-£10m).",A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Changed Requirement,9,319,Reduction in number of aircraft to be equipped with Defensive Aids Sub-System (DASS) from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months (-£81m). Option bringing the DASS forward onto aircraft 1-9 (+£9m).,A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Changed Budgetary Priorities,14,81,"Changed delivery profile from that in the Business Case (-£61m). Minor realism adjustments, includes UK share of OCCAR Programme Division costs (+£5m), QinetiQ support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m). Minor realism changes includes Certification, Special To Type equipment and Training Facilities (+£7m).",A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Inflation,6,16,"Changes between inflation rate assumed in the Business Case and yearly inflation indices resulting in a decrease 2000/2001 (-£6m), an increase 2001/2002 (+£6m), a decrease 2002/2003 (-£10m).",A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Exchange Rate,222,232,"Variation in exchange rate assumptions used in the Business Case, 2000/2001, 2001/2002 and 2002/2003 (-£232m). Variation in 2003/04 (+£222m).",A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Contracting Process,442,89,"Realism to reflect 3 month delay in 2000/01 to contract effectivity (+£52m). Slip of aircraft payments and associated equipment to reflect above contract let decision (+£15m). Improved costing data for Configuration Items available (+£160m). Contract Effectivity Date (CED) slipped from November 2001 - October 2002 (+£149m). CED slipped from October 2002 – April 2003 (-£59m). Adjustments in line with increased knowledge of Programme (+£66m). CED slipped from April 2003 - May 2003, includes redefinition of Asset Deliveries to align with aircraft delivery schedule (-£30m).",A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Procurement Strategy,130,65,"Total number of aircraft ordered by participating nations higher than anticipated, and consequent reduction in UPC (-£65m). Subsequent contract renegotiation due to German reduction in offtake (+£130m).",A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Accounting Adjustments and Re-definitions,NA,43,Transfer from RDEL to CDEL (-£1m). Difference in variation figures due to revision of Cost of Capital Charge (-£42m).,A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Risk Differential,3,119,Difference between the risk allowed for in the most likely (50%) and highest acceptable (90%) estimates at Main Gate (-£119m). Variation due to revised approval figure (+£3m).,A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Total ,909,-1034,NA,A400M,2004,NA,NA
A400M_2004_2004_2_CostVariationVsApproveCostForDemonstrationManufacturePhaseSplit.csv,Net variation,NA,-125,NA,A400M,2004,NA,NA
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Accounting Adjustment,NA,NA,Correction of previous years treatment of deliveries (+£1m).,A400M,2005,3/1/2005 0:00,1
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,Costing realism in line with better programme understanding including adjustment for actual sunk costs (-£6m).,A400M,2005,3/1/2005 0:00,-6
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed requirement,NA,NA,Option to reprofile Training Facilities for realism (-£1m).,A400M,2005,3/1/2005 0:00,-1
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Exchange Rate,NA,NA,Variation in 2004/2005 (+£39m).,A400M,2005,6/1/2004 0:00,39
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed requirement,NA,NA,Programme measure to move deferred configuration items back into aircraft delivery profiel (-£2m).,A400M,2005,4/1/2004 0:00,-2
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Inflation,NA,NA,An increase in 2004/2005 (+£8m).,A400M,2005,4/1/2004 0:00,8
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,"Costing re-adjusted with understand of future programme: Certification (-£15m), Government Furnished Equipment (+£4m), Support (+£4m). Reprofiling deliveries for realism. Build facilities (-£1m), Initial Provision Spares, (-£5m), Deployment Kits (-£1m).",A400M,2005,4/1/2004 0:00,-14
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,"Reduction in the requirement for government procured items (-£46m). Improved understanding of programme requirement for Initial Provision Spares (+£83m), Deployment Kits (-£1m), Initial Training (-£13m) and Mission Planning & Restitution System (-£10m).",A400M,2005,Historic,13
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed requirement,NA,NA,Reduction in number of aircraft to be equipped with Defensive Aids Sub-System (DASS) from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months (-£81m). Option bringing the DASS forward onto aircraft 1-9 (+£9m).,A400M,2005,Historic,-310
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Budgetary Priorities,NA,NA,"Changed delivery profile from that in the Business Case (-£61m). Minor realism adjustments, includes UK share of OCCAR Programme Division costs (+£5m), QinetiQ support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m). Minor realism changes includes Certification, Special To Type equipment and Training Facilities (+£7m).",A400M,2005,Historic,-67
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Inflation,NA,NA,"Changes between inflation rate assumed in the Business Case and yearly inflation indices resulting in a decrease 2000/2001 (-£6m), an increase 2001/2002 (+£6m), a decrease 2002/2003 (-£10m).",A400M,2005,Historic,-10
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Exchange Rate,NA,NA,"Variation in exchange rate assumptions used in the Business Case, 2000/2001, 2001/2002 and 2002/2003 (-£232m). Variation in 2003/04 (+£222m).",A400M,2005,Historic,-10
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Contracting Process,NA,NA,"Realism to reflect 3 month delay in 2000/01 to contract effectivity (+£52m). Slip of aircraft payments and associated equipment to reflect above contract let decision (+£15m). Improved costing data for Configuration Items available (+£160m). Contract Effectivity Date (CED) slipped from November 2001 - October 2002 (+£149m). CED slipped from October 2002 – April 2003 (-£59m). Adjustments in line with increased knowledge of Programme (+£66m). CED slipped from April 2003 - May 2003, includes redefinition of Asset Deliveries to align with aircraft delivery schedule (-£30m).",A400M,2005,Historic,353
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Procurement Strategy,NA,NA,"Total number of aircraft ordered by participating nations higher than anticipated, and consequent reduction in UPC (-£65m). Subsequent contract renegotiation due to German reduction in offtake (+£130m).",A400M,2005,Historic,65
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Accounting Adjustment and Re-definitions,NA,NA,Transfer from RDEL to CDEL (-£1m). Difference in variation figures due to revision of Cost of Capital Charge (-£42m).,A400M,2005,Historic,-43
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Risk Differential,NA,NA,Difference between the most likely and highest acceptable cost at Main Gate (-£119m). Variation due to revised approval figure (+£3m).,A400M,2005,Historic,-116
A400M_2005_2005_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,NA,NA,NA,NA,A400M,2005,Total Variation,-100
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Accounting Adjustments and Redefinitions,NA,NA,Changes to Cost of Capital cost and sunk costs.,A400M,2006,3/1/2006 0:00,-1
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Change Requirement,NA,NA,Departmental Review - Deletion of civil pallets configuration item,A400M,2006,3/1/2006 0:00,-5
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,"Programme realism with regard to costing Technical Publications (-£5m), Special to Type Equipment (-£5m), Aircraft Ground Equipment (-£4m), Government Furnished Equipment/Facilities (-£7m) and Codification of equipment/spares (-£1m).",A400M,2006,2/1/2006 0:00,-22
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Exchange Rate,NA,NA,Variation in 2005/2006,A400M,2006,2/1/2006 0:00,-24
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,"Training Needs Analysis identified the need for funding increase; Develop & Build Facilities (+£11m), Initial Training (+£7m), Develop & Build Training Devices (+£6m), and Develop & Build Training Facilities (-£3m).",A400M,2006,2/1/2006 0:00,21
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,Identification of UK only certification requirements,A400M,2006,2/1/2006 0:00,6
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Requirement,NA,NA,Addition of Propeller Brake,A400M,2006,1/1/2006 0:00,6
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Budgetary Priorities,NA,NA,Departmental Reviews have identified savings to programme risks.,A400M,2006,1/1/2006 0:00,-23
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Inflation,NA,NA,Variation in 2005/2006,A400M,2006,1/1/2006 0:00,14
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,NA,NA,NA,Transfer from RDEL to CDEL (-£1m). Difference in variation figures due to revision of Cost of Capital Charge (-£42m). Correction of previous years' treatment of deliveries (+£1m).,A400M,2006,Historic,-42
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,"Costing realism in line with better programme understanding including adjustment for actual sunk costs (-£6m). Costing re-adjusted with understanding of future programme: Certification (-£15m), Government Furnished Equipment (+£4m), Support (+£4m). Reprofiling deliveries for realism Build Facilities (-£1m), Initial Provision Spares (-£5m), Deployment Kits (-£1m). Reduction in the requirement for government procured items. (-£46m). Improved understanding of programme requirement for Initial Provision Spares (+83m), Deployment Kits (-£1m), Initial Training (-£13m) and Mission Planning & Restitution System (-£10m).",A400M,2006,Historic,-7
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Requirement,NA,NA,Option to reprofile Training Facilities for realism (-£1m). Programme measure to move deferred configuration items back into aircraft delivery profile (-£2m). Reduction in number of aircraft to be equipped with Defensive Aids Sub-System (DASS) from 25 to 9 (-£238m). Programme option to delete and defer configuration items and to slip In Service Date by 12 months (-£81m). Option bringing the DASS forward onto aircraft 1-9 (+£9m).,A400M,2006,Historic,-313
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Budgetary Priorities,NA,NA,"Changed delivery profile from that in the Business Case (-£61m). Minor realism adjustments, includes UK share of OCCAR Programme Division costs (+£5m), QinetiQ Support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m). Minor realism changes includes Certification, Special to Type equipment and Training Facilities (+£7m).",A400M,2006,Historic,-67
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Inflation,NA,NA,"Variation in 2004/2005 (+£8m). Changes between inflation rate assumed in the Business Case and yearly inflation indices resulting in variations: 2000/2001 (-£6m), 2001/2002 (+£6m), 2002/2003 (-£10m).",A400M,2006,Historic,-2
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Exchange Rate,NA,NA,"Variation in 2004/2005 (+£39m). Variation in exchange rate assumptions used in the Business Case, 2000/2001, 2001/2002 and 2002/2003 (-£232m). Variation in 2003/2004 (+£222m).",A400M,2006,Historic,29
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Contracting Process,NA,NA,"Realism to reflect 3 month delay in 2000/01 to contract effectivity (+£52m). Slip of aircraft payments and associated equipment to reflect above contract let decision (+£15m). Improved costing data for Configuration Items available (+£160m). Contract Effectivity Date (CED) slipped from November 2001 - October 2002 (+£149m). CED slipped from October 2002 – April 2003 (-£59m). Adjustments in line with increased knowledge of Programme (+£66m). CED slipped from April 2003 - May 2003, includes redefinition of Asset Deliveries to align with aircraft delivery schedule (-£30m).",A400M,2006,Historic,353
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Procurement Strategy,NA,NA,"Total number of aircraft ordered by participating nations higher than anticipated, and consequent reduction in UPC (-£65m). Subsequent contract renegotiation due to German reduction in offtake (+£130m).",A400M,2006,Historic,65
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Risk Differential,NA,NA,Difference between the risk allowed for in the most likely (50%) and the highest acceptable (90%) estimates at Main Gate,A400M,2006,Historic,-116
A400M_2006_2006_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,NA,NA,NA,NA,A400M,2006,Net Variation,-128
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Accounting Adjustments and Redefinitions,NA,NA,Variation in Cost of Captial due to a revision of accruals in future forecast costs,A400M,2007,3/1/2007 0:00,-8
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Change Requirement,NA,NA,Defer UK A400M National Training Facility by 2 years.,A400M,2007,3/1/2007 0:00,-2
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Change Requirement,NA,NA,Fule Tank Inertion System Pipe work,A400M,2007,3/1/2007 0:00,6
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Change Requirement,NA,NA,Deltion of Centralised Crypto Management Unit requirement,A400M,2007,3/1/2007 0:00,-12
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,"Increase in Training cost, figures form industry indicated a shortfall in costing line",A400M,2007,5/1/2006 0:00,32
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,Realism decrease to Support acitivities post aircraft delivery,A400M,2007,5/1/2006 0:00,-3
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Accounting Adjustments and Redefinitions,NA,NA,Changes to Cost of Capital costs and Sunk Costs (-£1m). Correction of previous years treatment of deliveries (+£1m). Transfer from RDEL to CDEL (-£1m). Difference in variation figures due to revision of Cost of Capital Charge (-£42m).,A400M,2007,Historic,-43
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Change Requirement,NA,NA,Deletion of Civil Pallets Configuration Item (-£5m). Addition of Propeller Brake(+£6m). Option to re-profile Training Facilities for realism (-£1m). Programme measure to move deferred configuration Items back into aircraft delivery profile (-£2m). Reduction in number of aircraft to be equipped with Defensive Aids Sub-System (DASS) from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months (-£81m) Option bringing the DASS forward onto aircraft 1-9 (+£9m).,A400M,2007,Historic,-312
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,"Programme realism with regard to costing Technical Publications (-£5m), Special To Type Equipment (-£5m), Aircraft Ground Equipment (-£4m), Government Furnished Equipment/Facilities (-£7m) and Codification of equipment/spares (-£1m). Training Needs Analysis identified the need for funding increase; Develop &Build Facilities (+£11m), Initial Training (+£7m), Develop & Build Training Devices (+£6m), and Develop & Build Training Facilities (-£3m). Identification of UK only certification requirements (+£6m). Costing realism in line with better programme understanding including adjustment for actual sunk costs (-£6m). Costing re- adjusted with understanding of future programme – Certification (-£15m), Government Furnished Equipment (+£4m), Support (+£4m).  Re-profiling deliveries for realism Build Facilities (-£1m), Initial Provision Spares (-£5m), Deployment Kits (-£1m). Reduction in the requirement for government procured items. (-£46m).  Improved understanding of programme requirement for Initial Provision Spares (+£83m), Deployment Kits (-£1m),  Initial Training (-£13m) and Mission Planning & Restitution System (-£10m).",A400M,2007,Historic,-2
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Exchange Rate,NA,NA,"A decrease in 2005/2006 (-£24m). Variation in 2004/2005 (+£39m). Variation in exchange rate assumptions used in the Business Case, 2000/2001, 2001/2002 and 2002/2003 (-£232m).  Variation in 2003/04 (+£222m).",A400M,2007,Historic,5
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Budgetary Priorities,NA,NA,"Departmental Reviews have identified savings to programme risks (-£23m). Changed delivery profile from that in the Business Case (-£61m).  Minor realism adjustments, includes UK share of Organisation Conjointe de Coopération en matière d'ARmement (OCCAR) Programme Division costs (+£5m), QinetiQ Support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m). Minor realism changes includes Certification, Special To Type equipment and Training Facilities  (+£7m).",A400M,2007,Historic,-90
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Inflation,NA,NA,"An increase in 2005/2006 (+£14m). An increase in 2004/2005 (+£8m). Changes between inflation rate assumed in the Business Case and yearly inflation indices resulting in a decrease 2000/2001 (-£6m), an increase 2001/2002 (+£6m), a decrease 2002/2003 (-£10m).",A400M,2007,Historic,12
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Contracting Process,NA,NA,"Realism to reflect 3 month delay in 2000/01 to contract effectivity (+£52m). Slip of aircraft payments and associated equipment to reflect above contract let decision (+£15m). Improved costing data for Configuration Items available (+£160m). Contract Effectivity Date (CED) slipped from November 2001 - October 2002 (+£149m). CED slipped from October 2002 – April 2003 (-£59m). Adjustments in line with increased knowledge of Programme (+£66m). CED slipped from April 2003 - May 2003, includes redefinition of Asset Deliveries to align with aircraft delivery schedule (-£30m).",A400M,2007,Historic,353
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Procurement Strategy,NA,NA,"Total number of aircraft ordered by participating nations higher than anticipated, and consequent reduction in Unit Production Cost (-£65m). Subsequent contract renegotiation due to German reduction in offtake (+£130m).",A400M,2007,Historic,65
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Risk Differential,NA,NA,Difference between the risk allowed for in the most likely (50%) and the approved figures at Main Gate.,A400M,2007,Historic,-116
A400M_2007_2007_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,NA,NA,NA,NA,A400M,2007,Net Variation,-115
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Requirement,NA,NA,Delay of programme by 9 months (-£12m) and associated Cost of Capital changes (+£25m),A400M,2008,3/1/2008 0:00,13
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Exchange Rate,NA,NA,Exchange rate changes (-£15m) and associated Cost Of Capital changes (-£1m),A400M,2008,8/1/2007 0:00,-16
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Budgetary Priorities,NA,NA,Realism reprofile of Development Production Phase contract together with Directed Infra-Red Counter Measures and Cargo Hold Mock-up costs (-£4m) and associated Cost Of Capital changes (+£1m),A400M,2008,8/1/2007 0:00,-3
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Accounting Adjustments and Re-definitions,NA,NA,Changes in timing of expenditure leading to a variation in Cost of Capital (-£26m),A400M,2008,8/1/2007 0:00,-26
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Technical Factors,NA,NA,Growth in estimates for training and Government Furnished Facilities (+£57m) and associated Cost Of Capital changes (+£4m),A400M,2008,8/1/2007 0:00,61
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed requirement,NA,NA,Deletion of one training simulator (-£23m) and associated Cost Of Capital changes (-£3m),A400M,2008,8/1/2007 0:00,-26
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Accounting Adjustments and Redefinitions,NA,NA,Variation in Cost of Capital Charge due to a revision of accruals in future forecast costs (-£8m). Changes to Cost of Capital Charge and Sunk Costs (-£1m). Correction of previous years treatment of deliveries (+£1m). Transfer from RDEL to CDEL (-£1m). Difference in variation figures due to revision of Cost of Capital Charge (-£42m).,A400M,2008,Historic,-51
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Budgetary Priorities,NA,NA,"Departmental Reviews have identified savings to programme risks (-£23m). Changed delivery profile from that in the Business Case (-£61m). Minor realism adjustments, includes UK share of Organisation Conjointe de Coopération en matière d'ARmement (OCCAR) Programme Division costs (+£5m), QinetiQ Support costs increased (+£1m), unidentified variance (+£1m). Equipment Programme Measure deleting 1 Simulator (-£20m). Minor realism changes includes Certification, Special To Type equipment and Training Facilities (+£7m).",A400M,2008,Historic,-90
A400M_2008_2008_2_CostVariationVsApproveCostForDemonstrationManufacturePhase.csv,Changed Requirement,NA,NA,Defer UK A400M National Training Facility by 2 years (-£2m). Fuel Tank Inertion System Pipe work (+£6m). Deletion of Centralised Crypto Management Unit requirement (-£12m). Deletion of Civil Pallets Configuration Item (-£5m). Addition of Propeller Brake (+£6m). Option to re-profile Training Facilities for realism (-£1m). Programme measure to move deferred Configuration Items back into aircraft delivery profile (-£2m). Reduction in number of aircraft to be equipped with Defensive Aids Sub-System from 25 to 9 (-£238m). Programme option to delete and defer Configuration Items and to slip In Service Date by 12 months. (-£81m). Option bringing the Defensive Aids Sub- System forward onto aircraft 1-9 (+£9m).,A400M,2008,Historic,-320
