systemequipmentcode,Unseperated,systemequipmentcodeText,systemequipmentshorttext,SystemEquipmentIn2000Sample,SystemEquipmentIn2007Sample
188,188: A-6E / A-6 UPGRADE ,A-6E / A-6 UPGRADE ,A-6E / A-6 UPGRADE ,FALSE,FALSE
191,191: MH-60R ,MH-60R ,MH-60R ,FALSE,FALSE
193,193: SCOUT ,SCOUT ,SCOUT ,FALSE,FALSE
197,197: DD(X) ,DD(X) ,DD(X) ,TRUE,TRUE
198,198: JSF (F-35) ,JSF (F-35) ,JSF (F-35) ,TRUE,TRUE
199,199: FAB-T ,FAB-T ,FAB-T ,FALSE,FALSE
1ACE,1ACE: ,C-12,C-12,FALSE,FALSE
1ACF,1ACF: ,C-23 SHERPA,C-23 SHERPA,FALSE,FALSE
1ACH,1ACH: ,C-20 ACFT,C-20 ACFT,FALSE,FALSE
1AHA,1AHA: ,UH-1 IROQUOIS,UH-1 IROQUOIS,FALSE,FALSE
1AHB,NULL,H-2 SEASPRITE,H-2 SEASPRITE,FALSE,FALSE
1AHC,1AHC: ,OH-58 KIOWA (AHIP),OH-58 KIOWA (AHIP),FALSE,FALSE
1AHD,NULL,OH-6 CAYUSE,OH-6 CAYUSE,FALSE,FALSE
1AHE,NULL,OH-5/6 PAWNEE,OH-5/6 PAWNEE,FALSE,FALSE
1AHH,NULL,AH-56 CHEYENNE,AH-56 CHEYENNE,FALSE,FALSE
1AHJ,1AHJ: ,CH-46 SEA KNIGHT,CH-46 SEA KNIGHT,FALSE,FALSE
1AHK,1AHK: ,CH-47 CHINOOK,CH-47 CHINOOK,FALSE,FALSE
1AHL,NULL,H-51,H-51,FALSE,FALSE
1AHM,1AHM: ,AH-1 COBRA,AH-1 COBRA,FALSE,FALSE
1AHN,NULL,AH-1J IRANIAN,AH-1J IRANIAN,FALSE,FALSE
1AHO,NULL,EH-1H ELECTRONIC,EH-1H ELECTRONIC,FALSE,FALSE
1AHP,NULL,AH-1S COBRA TOW,AH-1S COBRA TOW,FALSE,FALSE
1AHQ,NULL,CH-54 TARHE,CH-54 TARHE,FALSE,FALSE
1AHR,NULL,TH-55 OSAGE,TH-55 OSAGE,FALSE,FALSE
1AHS,1AHS: ,214 COMMERCIAL,214 COMMERCIAL,FALSE,FALSE
1AHU,NULL,UH-19 CHICKASAW,UH-19 CHICKASAW,FALSE,FALSE
1AHW,NULL,AH-1G HUEYCOBRA,AH-1G HUEYCOBRA,FALSE,FALSE
1AHZ,NULL,NH-41 SENECA,NH-41 SENECA,FALSE,FALSE
1AIA,1AIA: ,UH-60 BLACKHAWK UTTAS,UH-60 BLACKHAWK UTTAS,FALSE,FALSE
1AIB,NULL,QH-50,QH-50,FALSE,FALSE
1AIC,1AIC: ,AH-64 APACHE,AH-64 APACHE,FALSE,FALSE
1AID,NULL,YEH-60,YEH-60,FALSE,FALSE
1AIE,1AIE: ,SCOUT ASH,SCOUT ASH,FALSE,FALSE
1AIG,1AIG: ,LONGBOW APACHE,LONGBOW APACHE,FALSE,FALSE
1AIH,1AIH: ,RAH 66 COMMANCHE,COMMANCHE,TRUE,FALSE
1AII,1AII: ,COMMANCHE,COMMANCHE,TRUE,FALSE
1AOA,NULL,0-1 BIRD DOG,0-1 BIRD DOG,FALSE,FALSE
1ARA,1ARA: ,RV-1,RV-1,FALSE,FALSE
1ARJ,NULL,RU-21,RU-21,FALSE,FALSE
1ATG,NULL,2B-24 SYNTHETIC FLIGHT TRN,2B-24 SYNTHETIC FLIGHT TRN,FALSE,FALSE
1ATH,1ATH: ,HELICOPTER NEW TRAINING,HELICOPTER NEW TRAINING,FALSE,FALSE
1AUA,NULL,U-1 OTTER,U-1 OTTER,FALSE,FALSE
1AUB,NULL,U-8 SEMINOLE,U-8 SEMINOLE,FALSE,FALSE
1AUC,NULL,U-6 BEAVER,U-6 BEAVER,FALSE,FALSE
1AUE,1AUE: ,U-21 UTE,U-21 UTE,FALSE,FALSE
1AVA,1AVA: ,OV-1 MOHAWK,OV-1 MOHAWK,FALSE,FALSE
1AVE,NULL,CV-7 BUFFALO,CV-7 BUFFALO,FALSE,FALSE
1AWA,NULL,X-19,X-19,FALSE,FALSE
1BTB,NULL,T-53,T-53,FALSE,FALSE
1BTC,NULL,T-55,T-55,FALSE,FALSE
1BTJ,NULL,T-63,T-63,FALSE,FALSE
1BTK,NULL,T-64,T-64,FALSE,FALSE
1BTN,1BTN: ,T-800,T-800,FALSE,FALSE
1BTP,1BTP: ,T-700,T-700,FALSE,FALSE
1CAA,1CAA: ,BALLISTIC MISSILE DEFENSE SYS,BALLISTIC MISSILE DEFENSE SYS,FALSE,FALSE
1CED,NULL,BALL MSL DEF SYS,BALL MSL DEF SYS,FALSE,FALSE
1CMA,NULL,MIM-14 NIKE HERCULES,MIM-14 NIKE HERCULES,FALSE,FALSE
1CMB,NULL,XAGM-22 (SS-11) MSL SYS,XAGM-22 (SS-11) MSL SYS,FALSE,FALSE
1CMC,1CMC: ,MIM-23 HAWK,MIM-23 HAWK,FALSE,FALSE
1CMD,NULL,MGM-29 SERGEANT,MGM-29 SERGEANT,FALSE,FALSE
1CME,NULL,MGM-31 PERSHING,MGM-31 PERSHING,FALSE,FALSE
1CMF,NULL,****** 1CMF,****** 1CMF,FALSE,FALSE
1CMH,NULL,MQM-40/42 REDHEAD/ROADRUNNER,MQM-40/42 REDHEAD/ROADRUNNER,FALSE,FALSE
1CMJ,NULL,FIM-43 REDEYE (LONGBOW),FIM-43 REDEYE (LONGBOW),FALSE,FALSE
1CML,NULL,MGM-52 LANCE,MGM-52 LANCE,FALSE,FALSE
1CMN,1CMN: ,MIM-72 CHAPARRAL,MIM-72 CHAPARRAL,FALSE,FALSE
1CMS,NULL,MGM-71 TOW,MGM-71 TOW,FALSE,FALSE
1CMU,1CMU: ,M-77 DRAGON,M-77 DRAGON,FALSE,FALSE
1CMZ,1CMZ: ,FAADS C21 (SHORAD),FAADS C21 (SHORAD),FALSE,FALSE
1CNA,1CNA: ,STINGER (RMP)  MANPORTABLE SAM,STINGER (RMP)  MANPORTABLE SAM,FALSE,FALSE
1CNB,NULL,ASSAULT BREAKER,ASSAULT BREAKER,FALSE,FALSE
1CNC,1CNC: ,QM-107 GD MSL TGT SYS,QM-107 GD MSL TGT SYS,FALSE,FALSE
1CND,NULL,FOG-M MISSILE (FAADS NLOS),FOG-M MISSILE (FAADS NLOS),FALSE,FALSE
1CNE,1CNE: ,PATRIOT MISSILE SYS,PATRIOT MISSILE SYS,FALSE,FALSE
1CNG,NULL,U S ROLAND,U S ROLAND,FALSE,FALSE
1CNL,1CNL: ,ARMY TACTICAL MISSILE SYSTEM,ARMY TACTICAL MISSILE SYSTEM,FALSE,FALSE
1CNM,1CNM: ,"TOW-2 TB-LH,OP-TRK,WG ANTI ARM","TOW-2 TB-LH,OP-TRK,WG ANTI ARM",FALSE,FALSE
1CNP,1CNP: ,"AVENGER - FADS, LOS, RPMS","AVENGER - FADS, LOS, RPMS",FALSE,FALSE
1CNQ,1CNQ: ,BRLNT ANTI-ARMOR SUBMUNITION,BRLNT ANTI-ARMOR SUBMUNITION,FALSE,FALSE
1CNR,1CNR: ,IMPROVED TARGET ACQ SYS,IMPROVED TARGET ACQ SYS,FALSE,FALSE
1CNS,1CNS: ,JAVELIN,JAVELIN,FALSE,FALSE
1CNT,1CNT: ,MLRS - MULTIPLE LNCH ROCK SYS,MLRS - MULTIPLE LNCH ROCK SYS,FALSE,FALSE
1CNU,1CNU: ,CORPS SAM,CORPS SAM,FALSE,FALSE
1CNV,1CNV: ,GBI - GROUND BASED INTERCEPTOR,GBI - GROUND BASED INTERCEPTOR,FALSE,FALSE
1CNW,1CNW: ,GBR -GROUND BASED RADAR,GBR -GROUND BASED RADAR,FALSE,FALSE
1CNX,1CNX: ,THAAD-THEATER HIGH ALT AIR DEF,THAAD-THEATER HIGH ALT AIR DEF,FALSE,FALSE
1CPA,1CPA: ,HELLFIRE MODULAR MSL SYS,HELLFIRE MODULAR MSL SYS,FALSE,FALSE
1CPB,1CPB: ,LASER HELLFIRE,LASER HELLFIRE,FALSE,FALSE
1CPJ,1CPJ: ,UAV HUNTER (SHORT RANGE UAV),UAV HUNTER (SHORT RANGE UAV),FALSE,FALSE
1CRC,NULL,XMQR-13,XMQR-13,FALSE,FALSE
1CRG,1CRG: ,"2.75"" ROCKET ALL TYPES","2.75"" ROCKET ALL TYPES",FALSE,FALSE
1CRL,NULL,M72 66MM HEAT ROCKET,M72 66MM HEAT ROCKET,FALSE,FALSE
1CRM,1CRM: ,"LAUNCHER, ROCKET 2.75","LAUNCHER, ROCKET 2.75",FALSE,FALSE
1CRN,1CRN: ,****** 1CRN,****** 1CRN,FALSE,FALSE
1CRO,NULL,****** 1CRO,****** 1CRO,FALSE,FALSE
1CRV,1CRV: ,MULT LNCH ROCKET SYS,MULT LNCH ROCKET SYS,FALSE,FALSE
1CRW,1CRW: ,LONGBOW HELLFIRE,LONGBOW HELLFIRE,FALSE,FALSE
1DAD,1DAD: ,TRUCKS <1T,TRUCKS <1T,FALSE,FALSE
1DAE,1DAE: ,TRUCKS 2 1/2T,TRUCKS 2 1/2T,FALSE,FALSE
1DAF,1DAF: ,TRUCKS 5T,TRUCKS 5T,FALSE,FALSE
1DAG,1DAG: ,TRUCKS 10T,TRUCKS 10T,FALSE,FALSE
1DAH,1DAH: ,TRUCKS >10T,TRUCKS >10T,FALSE,FALSE
1DAI,1DAI: ,RECOVERY VEHICLE M88 IMPROVED,RECOVERY VEHICLE M88 IMPROVED,FALSE,FALSE
1DAJ,1DAJ: ,ARMORED SECURITY VEHICLE,ARMORED SECURITY VEHICLE,FALSE,FALSE
1DAK,1DAK: ,PALLETIZED LOADING SYSTEM  PLS,PALLETIZED LOADING SYSTEM  PLS,FALSE,FALSE
1DAL,1DAL: ,Stryker Armored Vehicles,Stryker Armored Vehicles,FALSE,FALSE
1DAM,1DAM: ,H. MOB. MP WHEELED VEH (HMMWV),H. MOB. MP WHEELED VEH (HMMWV),FALSE,FALSE
1DAN,1DAN: ,Family Med Tact Veh (FMTV),Family Med Tact Veh (FMTV),FALSE,FALSE
1DBA,NULL,BRIDGE (ARMORED VEH LAUNCH),BRIDGE (ARMORED VEH LAUNCH),FALSE,FALSE
1DBE,NULL,LAUNCHER TNK CHASSIS M60/AVB,LAUNCHER TNK CHASSIS M60/AVB,FALSE,FALSE
1DBF,NULL,LACV-30 AIR CUSH VEH 25-30T,LACV-30 AIR CUSH VEH 25-30T,FALSE,FALSE
1DBI,NULL,BRIDGE FIXED HWY ALUM,BRIDGE FIXED HWY ALUM,FALSE,FALSE
1DBJ,NULL,BRIDGE FLOAT RIBBON INT BAY,BRIDGE FLOAT RIBBON INT BAY,FALSE,FALSE
1DBK,NULL,BRIDGE FLOAT RIBBON RAMP,BRIDGE FLOAT RIBBON RAMP,FALSE,FALSE
1DBL,1DBL: ,LANDING VEH TRACKED AMPHIB,LANDING VEH TRACKED AMPHIB,FALSE,FALSE
1DBN,NULL,(ALMSC),(ALMSC),FALSE,FALSE
1DBO,NULL,COMBAT ENGINEER FT T118 M728,COMBAT ENGINEER FT T118 M728,FALSE,FALSE
1DBP,NULL,TNK & AUTO TECH,TNK & AUTO TECH,FALSE,FALSE
1DBQ,NULL,CAVALRY FIGHTING VEHICLE,CAVALRY FIGHTING VEHICLE,FALSE,FALSE
1DBR,NULL,****** 1DBR,****** 1DBR,FALSE,FALSE
1DBS,NULL,RPV (STING RAY),RPV (STING RAY),FALSE,FALSE
1DBT,NULL,RECOVERY VEHICLE M88 MED,RECOVERY VEHICLE M88 MED,FALSE,FALSE
1DBU,NULL,RECOVERY VEHICLE (FT) M578,RECOVERY VEHICLE (FT) M578,FALSE,FALSE
1DBV,1DBV: ,"BRADLEY,INFANTRY FT VEH FAMILY","BRADLEY,INFANTRY FT VEH FAMILY",FALSE,FALSE
1DBW,NULL,ASSAULT GEN SHERIDAN XM551,ASSAULT GEN SHERIDAN XM551,FALSE,FALSE
1DBY,NULL,TRAINER SHERDN WPN SYS XM35,TRAINER SHERDN WPN SYS XM35,FALSE,FALSE
1DCA,NULL,CARRIER CARGO M548,CARRIER CARGO M548,FALSE,FALSE
1DCB,NULL,CHASSIS CARRIER XM-730,CHASSIS CARRIER XM-730,FALSE,FALSE
1DCD,NULL,COMMAND POST M577,COMMAND POST M577,FALSE,FALSE
1DCE,NULL,CARRIER VULCAN SP XM-741,CARRIER VULCAN SP XM-741,FALSE,FALSE
1DCF,NULL,CARRIER FT CHAPARRAL XM730,CARRIER FT CHAPARRAL XM730,FALSE,FALSE
1DCG,NULL,PERSONNEL CARRIER M113,PERSONNEL CARRIER M113,FALSE,FALSE
1DCI,NULL,CARRIER M113-TOW,CARRIER M113-TOW,FALSE,FALSE
1DCK,NULL,CARRIER GM901 ITV,CARRIER GM901 ITV,FALSE,FALSE
1DCO,NULL,MORTAR CARRIER M-106,MORTAR CARRIER M-106,FALSE,FALSE
1DCP,1DCP: ,CARRIER M113 MODS,CARRIER M113 MODS,FALSE,FALSE
1DEB,1DEB: ,CRANE 5 TON 3/8 CU YD,CRANE 5 TON 3/8 CU YD,FALSE,FALSE
1DED,1DED: ,CRANE WHEEL MTD 20T 3/4 CU YD,CRANE WHEEL MTD 20T 3/4 CU YD,FALSE,FALSE
1DEE,1DEE: ,CRANE HYDRAULIC 25 TON (CCE),CRANE HYDRAULIC 25 TON (CCE),FALSE,FALSE
1DEF,1DEF: ,LOADER SCOOP TYPE 4-6 CU YD,LOADER SCOOP TYPE 4-6 CU YD,FALSE,FALSE
1DEG,1DEG: ,TRUCK CONCRETE,TRUCK CONCRETE,FALSE,FALSE
1DGA,NULL,AMPHIBIOUS 5 TON LARC,AMPHIBIOUS 5 TON LARC,FALSE,FALSE
1DGC,NULL,AMPHIBIOUS 15 TON LARC,AMPHIBIOUS 15 TON LARC,FALSE,FALSE
1DGE,1DGE: ,AMPHIBIOUS 60 TON LARC,AMPHIBIOUS 60 TON LARC,FALSE,FALSE
1DGG,NULL,AIR CUSHION VEH 30 TON,AIR CUSHION VEH 30 TON,FALSE,FALSE
1DID,1DID: ,LOW BED 52 1/2 TON M747,LOW BED 52 1/2 TON M747,FALSE,FALSE
1DIE,NULL,STAKE 12-16 TON (C/S),STAKE 12-16 TON (C/S),FALSE,FALSE
1DIF,1DIF: ,TANK (FUEL SVC) M131 SEMI-TRL,TANK (FUEL SVC) M131 SEMI-TRL,FALSE,FALSE
1DII,NULL,BREAK BULK CONT 34 TON,BREAK BULK CONT 34 TON,FALSE,FALSE
1DIJ,NULL,SHOP VAN 6 TON M146,SHOP VAN 6 TON M146,FALSE,FALSE
1DIM,1DIM: ,M-857 SEMI-TRAILER,M-857 SEMI-TRAILER,FALSE,FALSE
1DIN,1DIN: ,VAN ELECTRONIC 6 TON M373,VAN ELECTRONIC 6 TON M373,FALSE,FALSE
1DIQ,1DIQ: ,M871 22.5 TON,M871 22.5 TON,FALSE,FALSE
1DIR,1DIR: ,M872 34 TON,M872 34 TON,FALSE,FALSE
1DIS,1DIS: ,TRAILERS,TRAILERS,FALSE,FALSE
1DJA,NULL,M-60 COMBAT 152MM GUN,M-60 COMBAT 152MM GUN,FALSE,FALSE
1DJB,1DJB: ,M-60 COMBAT 105MM GUN,M-60 COMBAT 105MM GUN,FALSE,FALSE
1DJC,NULL,M-48 TANK,M-48 TANK,FALSE,FALSE
1DJE,NULL,M-1 COMBAT 105MM GUN (ABRAMS),M-1 COMBAT 105MM GUN (ABRAMS),FALSE,FALSE
1DJF,NULL,XM-1 FSED TANK PROGRAM,XM-1 FSED TANK PROGRAM,FALSE,FALSE
1DJG,NULL,M-728 COMBAT,M-728 COMBAT,FALSE,FALSE
1DJH,NULL,XM-723 IFV,XM-723 IFV,FALSE,FALSE
1DJI,NULL,MBT-70 152MM GUN,MBT-70 152MM GUN,FALSE,FALSE
1DJJ,NULL,M-2 IFV (BRADLEY),M-2 IFV (BRADLEY),FALSE,FALSE
1DJK,NULL,M-3 CFV (BRADLEY),M-3 CFV (BRADLEY),FALSE,FALSE
1DJL,NULL,FIRE SUPT TEAM VEH,FIRE SUPT TEAM VEH,FALSE,FALSE
1DJM,1DJM: ,LIGHT ARMORED VEHICLE (LAV),LIGHT ARMORED VEHICLE (LAV),FALSE,FALSE
1DJN,1DJN: ,ABRAMS SERIES (M1/M1A1/M1A2),ABRAMS SERIES (M1/M1A1/M1A2),FALSE,FALSE
1DJP,NULL,M1A2 UPGRADE,M1A2 UPGRADE,FALSE,FALSE
1DKA,1DKA: ,LOW SPEED(FT)DIESEL MEDIUM,LOW SPEED(FT)DIESEL MEDIUM,FALSE,FALSE
1DKC,1DKC: ,CRAWLER T-11 W/RIPPER CCE,CRAWLER T-11 W/RIPPER CCE,FALSE,FALSE
1DKE,1DKE: ,UNIVERSAL(FT)W/DOZER,UNIVERSAL(FT)W/DOZER,FALSE,FALSE
1DKJ,NULL,INDUSTRIAL(WHEELED)MEDIUM,INDUSTRIAL(WHEELED)MEDIUM,FALSE,FALSE
1DLB,1DLB: ,CARGO 3/4 TON M101,CARGO 3/4 TON M101,FALSE,FALSE
1DLC,NULL,HVY EXPANDED MOB. AMMO TRAILER,HVY EXPANDED MOB. AMMO TRAILER,FALSE,FALSE
1DLD,1DLD: ,HVY EXPANDED MOB. TAC TRUCK,HVY EXPANDED MOB. TAC TRUCK,FALSE,FALSE
1DLE,1DLE: ,H. MOB. MP WHEELED VEH (HMMWV),H. MOB. MP WHEELED VEH (HMMWV),FALSE,FALSE
1DLF,1DLF: ,CARGO 1 1/2 TON M105 TRAILER,CARGO 1 1/2 TON M105 TRAILER,FALSE,FALSE
1DLG,1DLG: ,HIGH MOBILITY TRAILER,HIGH MOBILITY TRAILER,FALSE,FALSE
1DLI,1DLI: ,PALLETIZED LOADING SYSTEM,PALLETIZED LOADING SYSTEM,FALSE,FALSE
1DLM,1DLM: ,TANK WATER 400 GAL M149 TRK,TANK WATER 400 GAL M149 TRK,FALSE,FALSE
1DMA,NULL,HEAVY EQ XM523/524 M123/15,HEAVY EQ XM523/524 M123/15,FALSE,FALSE
1DNA,NULL,3/4 TON 4X2 NTV MAINT TRUCK,3/4 TON 4X2 NTV MAINT TRUCK,FALSE,FALSE
1DNB,NULL,3/4 TON 4X4 ALL BDY TYPES,3/4 TON 4X4 ALL BDY TYPES,FALSE,FALSE
1DNC,1DNC: ,FORK LIFT 4000 LB GE PT,FORK LIFT 4000 LB GE PT,FALSE,FALSE
1DND,1DND: ,FORK LIFT 10000 LB DD PT RT,FORK LIFT 10000 LB DD PT RT,FALSE,FALSE
1DNE,NULL,2 1/2 TON 6X6 ALL BODY TYPES,2 1/2 TON 6X6 ALL BODY TYPES,FALSE,FALSE
1DNF,1DNF: ,FORK LIFT 15000 LB,FORK LIFT 15000 LB,FALSE,FALSE
1DNG,NULL,2 1/2 TON 8X8 XM410,2 1/2 TON 8X8 XM410,FALSE,FALSE
1DNH,1DNH: ,FORK LIFT 50000 LB,FORK LIFT 50000 LB,FALSE,FALSE
1DNI,NULL,1 1/4 TON ABT CS,1 1/4 TON ABT CS,FALSE,FALSE
1DNJ,NULL,5 TON 6X6 ALL BODY TYPES M39,5 TON 6X6 ALL BODY TYPES M39,FALSE,FALSE
1DNK,NULL,CONTAINER HANDL SD LOADER,CONTAINER HANDL SD LOADER,FALSE,FALSE
