OMBagencyCode,OMBagencyName,OMBbureauCode,OMBbureauname,CSISbureau
21,Department of Transportation,70,Maritime Administration,Other
21,Department of Transportation,NA,NA,Unlabeled
23,General Services Administration,0,General Services Administration,Other
23,General Services Administration,5,Real Property Activities,Other
23,General Services Administration,10,Supply and Technology Activities,Other
23,General Services Administration,30,General Activities,Other
23,General Services Administration,NA,NA,Unlabeled
24,Department of Homeland Security,0,Department of Homeland Security,Other
24,Department of Homeland Security,10,Departmental Management and Operations,Other
24,Department of Homeland Security,20,Office of the Inspector General,Other
24,Department of Homeland Security,30,Citizenship and Immigration Services,Other
24,Department of Homeland Security,40,United States Secret Service,Other
24,Department of Homeland Security,43,Office of the Under Secretary for Border and Transportation Security,Other
24,Department of Homeland Security,45,Transportation Security Administration,Other
24,Department of Homeland Security,49,Federal Law Enforcement Training Center,Other
24,Department of Homeland Security,50,"Security, Enforcement, and Investigations",Other
24,Department of Homeland Security,55,Immigration and Customs Enforcement,Other
24,Department of Homeland Security,58,Customs and Border Protection,Other
24,Department of Homeland Security,60,United States Coast Guard,Other
24,Department of Homeland Security,65,National Protection and Programs Directorate,Other
24,Department of Homeland Security,70,Federal Emergency Management Agency,Other
24,Department of Homeland Security,80,Science and Technology,Other
24,Department of Homeland Security,85,Domestic Nuclear Detection Office,Other
24,Department of Homeland Security,90,Information Analysis and Infrastructure Protection,Other
24,Department of Homeland Security,NA,NA,Unlabeled
25,Department of Housing and Urban Development,0,Department of Housing and Urban Development,Other
25,Department of Housing and Urban Development,3,Public and Indian Housing Programs,Other
25,Department of Housing and Urban Development,6,Community Planning and Development,Other
25,Department of Housing and Urban Development,9,Housing Programs,Other
25,Department of Housing and Urban Development,12,Government National Mortgage Association,Other
25,NA,25,NA,Unlabeled
25,Department of Housing and Urban Development,28,Policy Development and Research,Other
25,Department of Housing and Urban Development,29,Fair Housing and Equal Opportunity,Other
25,Department of Housing and Urban Development,32,Office of Lead Hazard Control and Healthy Homes,Other
25,Department of Housing and Urban Development,35,Management and Administration,Other
25,Department of Housing and Urban Development,NA,NA,Unlabeled
26,National Aeronautics and Space Administration,0,National Aeronautics and Space Administration,Other
27,Office of Personnel Management,0,Office of Personnel Management,Other
28,Small Business Administration,0,Small Business Administration,Other
29,Department of Veterans Affairs,0,Department of Veterans Affairs,Other
29,Department of Veterans Affairs,15,Veterans Health Administration,Other
29,Department of Veterans Affairs,25,Benefits Programs,Other
29,Department of Veterans Affairs,40,Departmental Administration,Other
30,NA,30,NA,Unlabeled
32,NA,32,NA,Unlabeled
35,NA,35,NA,Unlabeled
40,NA,40,NA,Unlabeled
45,NA,45,NA,Unlabeled
48,NA,48,NA,Unlabeled
49,NA,49,NA,Unlabeled
50,NA,50,NA,Unlabeled
51,NA,51,NA,Unlabeled
55,NA,55,NA,Unlabeled
58,NA,58,NA,Unlabeled
68,NA,68,NA,Unlabeled
70,NA,70,NA,Unlabeled
75,NA,75,NA,Unlabeled
85,NA,85,NA,Unlabeled
90,NA,90,NA,Unlabeled
95,NA,95,NA,Unlabeled
96,NA,96,NA,Unlabeled
100,Executive Office of the President,0,Executive Office of the President,Other
100,Executive Office of the President,5,The White House,Other
100,Executive Office of the President,10,Executive Residence at the White House,Other
100,Executive Office of the President,15,Special Assistance to the President and the Official Residence of the Vice President,Other
100,Executive Office of the President,20,Council of Economic Advisers,Other
100,Executive Office of the President,25,Council on Environmental Quality and Office of Environmental Quality,Other
100,Executive Office of the President,30,Office of Policy Development,Other
100,Executive Office of the President,35,National Security Council and Homeland Security Council,Other
100,Executive Office of the President,50,Office of Administration,Other
100,Executive Office of the President,51,Armstrong Resolution,Other
100,Executive Office of the President,55,Office of Management and Budget,Other
100,Executive Office of the President,60,Office of National Drug Control Policy,Other
100,Executive Office of the President,65,Office of Science and Technology Policy,Other
100,Executive Office of the President,70,Office of the United States Trade Representative,Other
100,Executive Office of the President,85,White House Conference for a Drug Free America,Other
100,Executive Office of the President,95,Unanticipated Needs,Other
100,Executive Office of the President,98,Presidential Transition,Other
100,Executive Office of the President,NA,NA,Unlabeled
154,Federal Drug Control Programs,0,Federal Drug Control Programs,Other
184,International Assistance Programs,0,International Assistance Programs,Other
184,International Assistance Programs,3,Millennium Challenge Corporation,Other
184,International Assistance Programs,5,International Security Assistance,Other
184,International Assistance Programs,10,Multilateral Assistance,Other
184,International Assistance Programs,15,Agency for International Development,Other
184,International Assistance Programs,20,Overseas Private Investment Corporation,Other
184,International Assistance Programs,25,Trade and Development Agency,Other
184,International Assistance Programs,35,Peace Corps,Other
184,International Assistance Programs,40,Inter-American Foundation,Other
184,International Assistance Programs,50,African Development Foundation,Other
184,International Assistance Programs,60,International Monetary Programs,Other
184,International Assistance Programs,70,Military Sales Program,Foreign Military Sales
184,International Assistance Programs,75,Special Assistance Initiatives,Other
184,International Assistance Programs,80,International Commodity Agreements,Other
184,International Assistance Programs,NA,NA,Unlabeled
200,Other Defense Civil Programs,5,Military Retirement,Other
200,Other Defense Civil Programs,7,Retiree Health Care,Other
200,Other Defense Civil Programs,10,Educational Benefits,Other
200,Other Defense Civil Programs,15,American Battle Monuments Commission,Other
200,Other Defense Civil Programs,20,Armed Forces Retirement Home,Other
200,Other Defense Civil Programs,25,Cemeterial Expenses,Other
200,Other Defense Civil Programs,30,"Forest and Wildlife Conservation, Military Reservations",Other
200,Other Defense Civil Programs,45,Selective Service System,Other
200,Other Defense Civil Programs,NA,NA,Unlabeled
202,Corps of Engineers--Civil Works,0,Corps of Engineers--Civil Works,Corps of Engineers--Civil Works
301,ACTION,0,ACTION,Other
302,Administrative Conference of the United States,0,Administrative Conference of the United States,Other
304,Advisory Commission on Intergovernmental Relations,0,Advisory Commission on Intergovernmental Relations,Other
306,Advisory Council on Historic Preservation,0,Advisory Council on Historic Preservation,Other
309,Appalachian Regional Commission,0,Appalachian Regional Commission,Other
310,Access Board,0,Architectural and Transportation Barriers Compliance Board,Other
313,Barry Goldwater Scholarship and Excellence in Education Foundation,0,Barry Goldwater Scholarship and Excellence in Education Foundation,Other
316,Central Intelligence Agency,0,Central Intelligence Agency,Other
322,Commission for the Study of International Migration and Cooperative Economic Development,0,Commission for the Study of International Migration and Cooperative Economic Development,Other
323,Commission of Fine Arts,0,Commission of Fine Arts,Other
326,Commission on Civil Rights,0,Commission on Civil Rights,Other
327,Commission on Education of the Deaf,0,Commission on Education of the Deaf,Other
338,Committee for Purchase from People Who Are Blind or Severely Disabled,0,"Committee for Purchase from People who are Blind or Severely Disabled, activities",Other
339,Commodity Futures Trading Commission,0,Commodity Futures Trading Commission,Other
343,Consumer Product Safety Commission,0,Consumer Product Safety Commission,Other
344,Corporation for Public Broadcasting,0,Corporation for Public Broadcasting,Other
345,United States Court of Appeals for Veterans Claims,0,United States Court of Appeals for Veterans Claims,Other
347,Defense Nuclear Facilities Safety Board,0,Defense Nuclear Facilities Safety Board,Other
349,District of Columbia,0,District of Columbia,Other
349,District of Columbia,10,District of Columbia Courts,Other
349,District of Columbia,20,District of Columbia Corrections,Other
349,District of Columbia,30,District of Columbia General and Special Payments,Other
350,Equal Employment Opportunity Commission,0,Equal Employment Opportunity Commission,Other
351,Export-Import Bank of the United States,0,Export-Import Bank of the United States,Other
352,Farm Credit Administration,0,Farm Credit Administration,Other
354,Farm Credit System Financial Assistance Corporation,0,Farm Credit System Financial Assistance Corporation,Other
355,Farm Credit System Insurance Corporation,0,Farm Credit System Insurance Corporation,Other
356,Federal Communications Commission,0,Federal Communications Commission,Other
357,Federal Deposit Insurance Corporation,10,Bank Insurance,Other
357,Federal Deposit Insurance Corporation,20,Deposit Insurance,Other
357,Federal Deposit Insurance Corporation,30,FSLIC Resolution,Other
357,Federal Deposit Insurance Corporation,35,Orderly Liquidation,Other
357,Federal Deposit Insurance Corporation,40,FDIC_Office of Inspector General,Other
360,Federal Election Commission,0,Federal Election Commission,Other
362,Federal Financial Institutions Examination Council,0,Federal Financial Institutions Examination Council,Other
362,Federal Financial Institutions Examination Council,20,Federal Financial Institutions Examination Council Appraisal Subcommittee,Other
364,Federal Housing Finance Board,0,Federal Housing Finance Board,Other
365,Federal Labor Relations Authority,0,Federal Labor Relations Authority,Other
366,Federal Maritime Commission,0,Federal Maritime Commission,Other
367,Federal Mediation and Conciliation Service,0,Federal Mediation and Conciliation Service,Other
368,Federal Mine Safety and Health Review Commission,0,Federal Mine Safety and Health Review Commission,Other
369,Federal Retirement Thrift Investment Board,0,Federal Retirement Thrift Investment Board,Other
370,Federal Trade Commission,0,Federal Trade Commission,Other
372,Harry S Truman Scholarship Foundation,0,Harry S Truman Scholarship Foundation,Other
373,Institute of American Indian and Alaska Native Culture and Arts Development,0,Institute of American Indian and Alaska Native Culture and Arts Development,Other
376,United States Interagency Council on Homelessness,0,United States Interagency Council on Homelessness,Other
378,International Trade Commission,0,International Trade Commission,Other
379,Interstate Commerce Commission,0,Interstate Commerce Commission,Other
381,James Madison Memorial Fellowship Foundation,0,James Madison Memorial Fellowship Foundation,Other
382,Japan-United States Friendship Commission,0,Japan-United States Friendship Commission,Other
385,Legal Services Corporation,0,Legal Services Corporation,Other
387,Marine Mammal Commission,0,Marine Mammal Commission,Other
389,Merit Systems Protection Board,0,Merit Systems Protection Board,Other
393,National Archives and Records Administration,0,National Archives and Records Administration,Other
394,National Capital Planning Commission,0,National Capital Planning Commission,Other
400,National Commission on Libraries and Information Science,0,National Commission on Libraries and Information Science,Other
413,National Council on Disability,0,National Council on Disability,Other
415,National Credit Union Administration,0,National Credit Union Administration,Other
417,National Endowment for the Arts,0,National Endowment for the Arts,Other
418,National Endowment for the Humanities,0,National Endowment for the Humanities,Other
419,National Institute of Building Sciences,0,National Institute of Building Sciences,Other
420,National Labor Relations Board,0,National Labor Relations Board,Other
421,National Mediation Board,0,National Mediation Board,Other
422,National Science Foundation,0,National Science Foundation,Other
424,National Transportation Safety Board,0,National Transportation Safety Board,Other
428,Neighborhood Reinvestment Corporation,0,Neighborhood Reinvestment Corporation,Other
429,Nuclear Regulatory Commission,0,Nuclear Regulatory Commission,Other
431,Nuclear Waste Technical Review Board,0,Nuclear Waste Technical Review Board,Other
432,Occupational Safety and Health Review Commission,0,Occupational Safety and Health Review Commission,Other
434,Office of Government Ethics,0,Office of Government Ethics,Other
435,Office of Navajo and Hopi Indian Relocation,0,Office of Navajo and Hopi Indian Relocation,Other
436,Office of Special Counsel,0,Office of Special Counsel,Other
438,Panama Canal Commission,0,Panama Canal Commission,Other
440,Postal Service,0,Postal Service,Other
446,Railroad Retirement Board,0,Railroad Retirement Board,Other
448,Resolution Trust Corporation,0,Resolution Trust Corporation,Other
449,Securities and Exchange Commission,0,Securities and Exchange Commission,Other
452,Smithsonian Institution,0,Smithsonian Institution,Other
453,State Justice Institute,0,State Justice Institute,Other
455,Tennessee Valley Authority,0,Tennessee Valley Authority,Other
456,United States Holocaust Memorial Museum,0,United States Holocaust Memorial Museum,Other
458,United States Institute of Peace,0,United States Institute of Peace,Other
460,United States Railway Association,0,United States Railway Association,Other
464,Water Resources Council,0,Water Resources Council,Other
465,Christopher Columbus Fellowship Foundation,0,Christopher Columbus Fellowship Foundation,Other
467,Intelligence Community Management Account,0,Intelligence Community Management Account,Other
468,FDIC Affordable Housing Program,0,Affordable Housing and Bank Enterprise (FDIC),Other
474,Institute of Museum and Library Services,0,Institute of Museum and Library Services,Other
476,United Mine Workers of America Benefit Funds,0,United Mine Workers of America Benefit Funds,Other
485,Corporation for National and Community Service,0,Corporation for National and Community Service,Other
486,United States Enrichment Corporation Fund,0,United States Enrichment Corporation Fund,Other
487,Morris K. Udall and Stewart L. Udall Foundation,0,Morris K. Udall and Stewart L. Udall Foundation,Other
492,National Education Goals Panel,0,National Education Goals Panel,Other
505,Other Commissions and Boards,0,Other Commissions and Boards,Other
510,Chemical Safety and Hazard Investigation Board,0,Chemical Safety and Hazard Investigation Board,Other
511,Court Services and Offender Supervision Agency for the District of Columbia,0,Court Services and Offender Supervision Agency for the District of Columbia,Other
512,Presidio Trust,0,Presidio Trust,Other
513,Denali Commission,0,Denali Commission,Other
514,Broadcasting Board of Governors,0,Broadcasting Board of Governors,Other
515,Commission on Ocean Policy,0,Commission on Ocean Policy,Other
516,Oklahoma City National Memorial Trust,0,Oklahoma City National Memorial Trust,Other
517,Delta Regional Authority,0,Delta Regional Authority,Other
518,National Veterans Business Development Corporation,0,National Veterans Business Development Corporation,Other
519,Vietnam Education Foundation,0,Vietnam Education Foundation,Other
521,United States-Canada Alaska Rail Commission,0,United States-Canada Alaska Rail Commission,Other
525,Election Assistance Commission,0,Election Assistance Commission,Other
526,Public Company Accounting Oversight Board,0,Public Company Accounting Oversight Board,Other
527,Standard Setting Body,0,Standard Setting Body,Other
528,Telecommunications Development Fund,0,Telecommunications Development Fund,Other
530,Affordable Housing Program,0,Affordable Housing Program,Other
531,Electric Reliability Organization,0,Electric Reliability Organization,Other
534,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,0,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,Other
535,Privacy and Civil Liberties Oversight Board,0,Privacy and Civil Liberties Oversight Board,Other
537,Federal Housing Finance Agency,0,Federal Housing Finance Agency,Other
538,National Infrastructure Bank,0,National Infrastructure Bank,Other
539,Recovery Accountability and Transparency Board,0,Recovery Act Accountability and Transparency Board,Other
542,Council of the Inspectors General on Integrity and Efficiency,0,Council of the Inspectors General on Integrity and Efficiency,Other
573,Northern Border Regional Commission,0,Northern Border Regional Commission,Other
575,National Railroad Passenger Corporation Office of Inspector General,0,National Railroad Passenger Corporation Office of Inspector General,Other
576,Securities Investor Protection Corporation,0,Securities Investor Protection Corporation,Other
579,Patient-Centered Outcomes Research Trust Fund,0,Patient-Centered Outcomes Research Trust Fund,Other
580,Corporation for Travel Promotion,0,Corporation for Travel Promotion,Other
581,Bureau of Consumer Financial Protection,0,Bureau of Consumer Financial Protection,Other
582,Civilian Property Realignment Board,0,Civilian Property Realignment Board,Other
584,Indian Law and Order Commission,0,Indian Law and Order Commission,Other
900,Allowances,5,Allowances,Other
902,Undistributed Offsetting Receipts,0,Undistributed Offsetting Receipts,Other
930,Miscellaneous Receipts Below the Reporting Threshold,0,Miscellaneous Receipts Below the Reporting Threshold,Other
NA,NA,NA,NA,Unlabeled
